Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
1583529498599630,Alianza por el AGUA,,AlianzaPorAgua,Community,0.01,671,1,yes,https://www.facebook.com/AlianzaPorAgua/
454884748003853,Yezid García Abello,,yezidgarciaa,Politician,0.07,1667,6,yes,https://www.facebook.com/yezidgarciaa/
108379099286148,Alcaldía Mayor de Bogotá,,AlcaldiaDeBogota,Government Organization,0.23,160372,23939,no,https://www.facebook.com/AlcaldiaDeBogota/
152369524855313,Jorge Torres Concejal,,jorgebta,Public Figure,0.09,9364,569,yes,https://www.facebook.com/jorgebta/
17136313137,Antanas Mockus,,a.mockus,Politician,0.01,892749,13529,yes,https://www.facebook.com/a.mockus/
582169155148474,Marta Lucía,,MartaLuciaRamirezMLR,Politician,0.09,220343,3482,yes,https://www.facebook.com/MartaLuciaRamirezMLR/
21793473043,PIRRY,,parcerospirry,Public Figure,0.05,3895628,129867,yes,https://www.facebook.com/parcerospirry/
55432788477,Mauricio Macri,,mauriciomacri,Politician,0.1,4368271,326784,yes,https://www.facebook.com/mauriciomacri/
438113889610097,Hosman Martínez,,HosmanConcejal,Public Figure,0.09,1748,46,yes,https://www.facebook.com/HosmanConcejal/
1594162734205923,Diego Laserna,,dglaserna,Public Figure,0.02,4311,349,yes,https://www.facebook.com/dglaserna/
1608370549417983,Olga Lucia Serrano,,,Politician,0,928,0,yes,https://www.facebook.com/Olga-Lucia-Serrano-1608370549417983/
191841854203209,Concejal Lucia Bastidas,,lbastidasu,Politician,0.13,1815,139,yes,https://www.facebook.com/lbastidasu/
508408712654707,Rosaristas con Peñalosa #Podemos,,,Community,0,221,5,yes,https://www.facebook.com/Rosaristas-con-Peñalosa-Podemos-508408712654707/
858798520870014,Externadistas con Peñalosa,,ExternadistasConPenalosa,Politician,0.02,1708,198,yes,https://www.facebook.com/ExternadistasConPenalosa/
829804810366956,Uniandinos con Peñalosa #Podemos,,,Community,0.01,925,5,yes,https://www.facebook.com/Uniandinos-con-Peñalosa-Podemos-829804810366956/
298995413558534,Javerianos con Peñalosa #Podemos,,javerianosconpenalosa,Community,0.01,201,0,yes,https://www.facebook.com/javerianosconpenalosa/
51946639172,Carlos Galán,,carlosfgalan,Politician,0.02,8424,64,no,https://www.facebook.com/carlosfgalan/
7832289087,David Luna,,davidluna,Government Official,0.15,84675,3072,yes,https://www.facebook.com/davidluna/
1422202204746857,Equipo Por Bogotá,,EPBogota,Cause,0,2753,1,yes,https://www.facebook.com/EPBogota/
146881602044017,RCN La Radio,,,Media/News Company,0,15581,14,yes,https://www.facebook.com/RCN-La-Radio-146881602044017/
1589010604682631,El Amor es mas Fuerte,,amormasfuert,Community,0,774,3,yes,https://www.facebook.com/amormasfuert/
163566147024734,Jean Wyllys,,jean.wyllys,Politician,0.23,1270173,101009,no,https://www.facebook.com/jean.wyllys/
432551683541698,Usaquén Se Respeta,,,Public Figure,0,226,1,yes,https://www.facebook.com/Usaquén-Se-Respeta-432551683541698/
1592784364308726,Jardines Infantiles Origami,,,Education,0.04,7318,29,yes,https://www.facebook.com/Jardines-Infantiles-Origami-1592784364308726/
371248909584229,Misredes,,misredes,Cause,0.03,6110,30,yes,https://www.facebook.com/misredes/
334273859939528,"Yopal, Ciudad Región con Río",,alcaldiadeyopal,City,0.43,18500,3274,no,https://www.facebook.com/alcaldiadeyopal/
991864984168598,Centro de Pensamiento Alianza Verde,,,Political Organization,0,2300,1,yes,https://www.facebook.com/Centro-de-Pensamiento-Alianza-Verde-991864984168598/
